O Obi-Wan Kenobi tem sabre de qual cor?;A arma que ele utiliza é um Sabre de luz azul
qual a cor do sabre do Obi-Wan Kenobi;A arma que ele utiliza é um Sabre de luz azul
Qual a cor do sabre de luz de Obi-Wan Kenobi?;A arma que ele utiliza é um Sabre de luz azul
qual é a arma do Obi-Wan Kenobi?;A arma que ele utiliza é um Sabre de luz azul
Você sabe qual a arma de escolha de Obi-Wan Kenobi?;A arma que ele utiliza é um Sabre de luz azul
o Obi-Wan Kenobi usa sabre?;A arma que ele utiliza é um Sabre de luz azul
qual a idade Obi-Wan Kenobi tem?;Obi-Wan nasceu em 57 ABY e morreu 50 horas antes da Batalha de Yavin, morrendo com 57 anos de idade
qual a idade Obi-Wan Kenobi ?;Obi-Wan nasceu em 57 ABY e morreu 50 horas antes da Batalha de Yavin, morrendo com 57 anos de idade
quantos anos tem Obi-Wan Kenobi ?;Obi-Wan nasceu em 57 ABY e morreu 50 horas antes da Batalha de Yavin, morrendo com 57 anos de idade
Quem foi o primeiro aprendiz de Obi-Wan Kenobi?;os aprendises de Obi-Wan eram Anakin Skywalker Luke Skywalker
Com quantos anos morreu Obi-Wan Kenobi?;Obi-Wan nasceu em 57 ABY e morreu 50 horas antes da Batalha de Yavin, morrendo com 57 anos de idade
quando morreu Obi-Wan Kenobi?;Obi-Wan nasceu em 57 ABY e morreu 50 horas antes da Batalha de Yavin, morrendo com 57 anos de idade
Com quantos anos morreu Obi-Wan Kenobi?;Obi-Wan nasceu em 57 ABY e morreu 50 horas antes da Batalha de Yavin, morrendo com 57 anos de idade
quem foi que matou Obi-Wan Kenobi?;Ele encontrou Vader na estrela da Morte quando ele, Han, e Luke foram salvar Leia, e os dois se comprometeram em um duelo final. Durante esse período, Vader assinalou que sua idade o deixou fraco, mas Kenobi disse a seu ex-aprendiz que ele não venceria porque ele se tornaria mais poderoso do que Vader pudesse imaginar, mesmo que ele conseguisse matá-lo. Os dois abriram caminho, assim como a equipe se reuniu para abordar a Falcon. Ao levantar a lâmina para se render e respirar fundo, Vader o atingiu e seu corpo desapareceu, pois ele se tornou um com a Força. Incapaz de recuperar o corpo de seu mestre, Luke foi forçado a escapar na Falcon com todos os outros.
O que acha do Obi-Wan Kenobi?;--
o que é o Obi-Wan Kenobi ?;Um dos mais respeitados mestres Jedi da Antiga República, Obi-Wan Kenobi foi mentor tanto de Anakin Skywaler (que posteriormente viria a se tornar Darth Vader) quanto do seu filho, Luke. Especialista em infiltração, foi um dos principais comandantes nas Guerras Clônicas e, ao fim do conflito, com a extinção dos Jedi, tomou para si a responsabilidade de guardar o filho do seu antigo amigo.
me fale sobre Obi-Wan Kenobi?;Um dos mais respeitados mestres Jedi da Antiga República, Obi-Wan Kenobi foi mentor tanto de Anakin Skywaler (que posteriormente viria a se tornar Darth Vader) quanto do seu filho, Luke. Especialista em infiltração, foi um dos principais comandantes nas Guerras Clônicas e, ao fim do conflito, com a extinção dos Jedi, tomou para si a responsabilidade de guardar o filho do seu antigo amigo.
quem foi Obi-Wan Kenobi?;Um dos mais respeitados mestres Jedi da Antiga República, Obi-Wan Kenobi foi mentor tanto de Anakin Skywaler (que posteriormente viria a se tornar Darth Vader) quanto do seu filho, Luke. Especialista em infiltração, foi um dos principais comandantes nas Guerras Clônicas e, ao fim do conflito, com a extinção dos Jedi, tomou para si a responsabilidade de guardar o filho do seu antigo amigo.
quem é Obi-Wan Kenobi?;Um dos mais respeitados mestres Jedi da Antiga República, Obi-Wan Kenobi foi mentor tanto de Anakin Skywaler (que posteriormente viria a se tornar Darth Vader) quanto do seu filho, Luke. Especialista em infiltração, foi um dos principais comandantes nas Guerras Clônicas e, ao fim do conflito, com a extinção dos Jedi, tomou para si a responsabilidade de guardar o filho do seu antigo amigo.
Qual o nome da mãe de Obi-Wan Kenobi?;Esta informarção não exise em nenhum dos meus registros.
Quem são os parentes do Obi-Wan Kenobi?;Esta informarção não exise em nenhum dos meus registros.
Quem é o pai do Obi-Wan Kenobi?;Esta informarção não exise em nenhum dos meus registros.
Quem não foi treinado por Obi-Wan Kenobi?;os aprendises de Obi-Wan eram Anakin Skywalker Luke Skywalker
Obi-Wan Kenobi foi treinado por quem?;os mestres conhecidos de Obi-Wan, são Qui-Gon Jinn Yoda
quem treinou Obi-Wan Kenobi?;os mestres conhecidos de Obi-Wan, são Qui-Gon Jinn Yoda
Qual é o planeta natal de Obi-Wan Kenobi?;Stewjon foi um planeta na galáxia que foi o planeta natal de Obi-Wan Kenobi,
Qual o planeta natal do Obi-Wan Kenobi?;Stewjon foi um planeta na galáxia que foi o planeta natal de Obi-Wan Kenobi,
qual a frase marcante de Obi-Wan Kenobi?;Se você me derrubar, me tornarei mais poderoso do que você pode imaginar.
qual filme aprece Obi-Wan Kenobi?;ele aparece no EPISÓDIO I, EPISÓDIO II, EPISÓDIO III, EPISÓDIO IV, EPISÓDIO V, EPISÓDIO VI
qual epidodio aparece Obi-Wan Kenobi?;ele aparece no EPISÓDIO I, EPISÓDIO II, EPISÓDIO III, EPISÓDIO IV, EPISÓDIO V, EPISÓDIO VI
qual a raça Obi-Wan Kenobi?;ele é um Humano
qual a especie Obi-Wan Kenobi?;ele é um Humano
Qual ator interpretou Obi-Wan Kenobi?;ele foi interpretado Sir Alec Guinness nos episodios IV VI e Ewan McGregor no episodio I, III, VII
Obi-Wan Kenobi foi inter pretado por quem?;ele foi interpretado Sir Alec Guinness nos episodios IV VI e Ewan McGregor no episodio I, III, VII
qual é a arma do Princesa Leia Organa?;a arma que ela utiliza é um blaster de mão
Você sabe qual a arma de escolha de Princesa Leia Organa?;a arma que ela utiliza é um blaster de mão
o Princesa Leia Organa usa sabre?;a arma que ela utiliza é um blaster de mão
qual a idade Princesa Leia Organa tem?;Nasceu pouco após a execução da Ordem 66, mais ou menos 19 anos antes da Batalha de Yavin, até o fim dos episodios 6, ele ainda estava viva
qual a idade Princesa Leia Organa ?;Nasceu pouco após a execução da Ordem 66, mais ou menos 19 anos antes da Batalha de Yavin, até o fim dos episodios 6, ele ainda estava viva
quantos anos tem Princesa Leia Organa ?;Nasceu pouco após a execução da Ordem 66, mais ou menos 19 anos antes da Batalha de Yavin, até o fim dos episodios 6, ele ainda estava viva
Com quantos anos morreu Princesa Leia Organa?;Nasceu pouco após a execução da Ordem 66, mais ou menos 19 anos antes da Batalha de Yavin, até o fim dos episodios 6, ele ainda estava viva
quando morreu Princesa Leia Organa?;Nasceu pouco após a execução da Ordem 66, mais ou menos 19 anos antes da Batalha de Yavin, até o fim dos episodios 6, ele ainda estava viva
Com quantos anos morreu Princesa Leia Organa?;Nasceu pouco após a execução da Ordem 66, mais ou menos 19 anos antes da Batalha de Yavin, até o fim dos episodios 6, ele ainda estava viva
quem foi que matou Princesa Leia Organa?;Nasceu pouco após a execução da Ordem 66, mais ou menos 19 anos antes da Batalha de Yavin, até o fim dos episodios 6, ele ainda estava viva
o que é o Princesa Leia Organa ?;Leia Organa (nascida Leia Amidala Skywalker) é uma das protagonistas da trilogia clássica (Episódios IV, V e VI). É irmã gêmea de Luke Skywalker e filha biológica da ex-rainha de Naboo Padmé Amidala e do Cavaleiro Jedi Anakin Skywalker. Leia nasceu no final da Guerras Clônicas. Com a morte de sua mãe e a transformação de seu pai em Darth Vader, foi separada de seu irmão gêmeo e entregue aos cuidados do Senador Bail Organa e de sua esposa Breha Organa. Bail encabeçava a família real de Alderaan, o que conferiu a Leia o título de princesa.
me fale sobre Princesa Leia Organa?;Leia Organa (nascida Leia Amidala Skywalker) é uma das protagonistas da trilogia clássica (Episódios IV, V e VI). É irmã gêmea de Luke Skywalker e filha biológica da ex-rainha de Naboo Padmé Amidala e do Cavaleiro Jedi Anakin Skywalker. Leia nasceu no final da Guerras Clônicas. Com a morte de sua mãe e a transformação de seu pai em Darth Vader, foi separada de seu irmão gêmeo e entregue aos cuidados do Senador Bail Organa e de sua esposa Breha Organa. Bail encabeçava a família real de Alderaan, o que conferiu a Leia o título de princesa.
quem foi Princesa Leia Organa?;Leia Organa (nascida Leia Amidala Skywalker) é uma das protagonistas da trilogia clássica (Episódios IV, V e VI). É irmã gêmea de Luke Skywalker e filha biológica da ex-rainha de Naboo Padmé Amidala e do Cavaleiro Jedi Anakin Skywalker. Leia nasceu no final da Guerras Clônicas. Com a morte de sua mãe e a transformação de seu pai em Darth Vader, foi separada de seu irmão gêmeo e entregue aos cuidados do Senador Bail Organa e de sua esposa Breha Organa. Bail encabeçava a família real de Alderaan, o que conferiu a Leia o título de princesa.
quem é Princesa Leia Organa?;Leia Organa (nascida Leia Amidala Skywalker) é uma das protagonistas da trilogia clássica (Episódios IV, V e VI). É irmã gêmea de Luke Skywalker e filha biológica da ex-rainha de Naboo Padmé Amidala e do Cavaleiro Jedi Anakin Skywalker. Leia nasceu no final da Guerras Clônicas. Com a morte de sua mãe e a transformação de seu pai em Darth Vader, foi separada de seu irmão gêmeo e entregue aos cuidados do Senador Bail Organa e de sua esposa Breha Organa. Bail encabeçava a família real de Alderaan, o que conferiu a Leia o título de princesa.
Qual o nome da mãe de Princesa Leia Organa?;Leia é filha de Padmé Amidala e Anakin Skywalker (conhecido também por Darth Vader), irmã gemea de Luke Skywalker, tendo como marido Han Solo e tendo um filho Ben Solo. E com a morte de Padmé e com Anakin virando Darth Vader, ela foi adotado ainda como criança por Bail Organa.
Quem são os parentes do Princesa Leia Organa?;Leia é filha de Padmé Amidala e Anakin Skywalker (conhecido também por Darth Vader), irmã gemea de Luke Skywalker, tendo como marido Han Solo e tendo um filho Ben Solo. E com a morte de Padmé e com Anakin virando Darth Vader, ela foi adotado ainda como criança por Bail Organa.
Quem é o pai do Princesa Leia Organa?;Leia é filha de Padmé Amidala e Anakin Skywalker (conhecido também por Darth Vader), irmã gemea de Luke Skywalker, tendo como marido Han Solo e tendo um filho Ben Solo. E com a morte de Padmé e com Anakin virando Darth Vader, ela foi adotado ainda como criança por Bail Organa.
Qual é o planeta natal de Princesa Leia Organa?;o planeta natal dela é Alderaan
Qual o planeta natal do Princesa Leia Organa?;o planeta natal dela é Alderaan
qual a frase marcante de Princesa Leia Organa?;Ajude-me, Obi Wan, você é minha última esperança.
qual filme aprece Princesa Leia Organa?;ela aparece no episodio IV, V, VI
qual episodio aparece Princesa Leia Organa?;ela aparece no episodio IV, V, VI
qual a raça Princesa Leia Organa?;ela é uma humana
qual a especie Princesa Leia Organa?;ela é uma humana
Qual ator interpretou Princesa Leia Organa?;ela foi interpretada por Carrie Fisher
Princesa Leia Organa foi inter pretado por quem?;ela foi interpretada por Carrie Fisher
